Couple,File_1,File_2,Kappa
Hao-Jinane,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.235
Mario-Hao,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,0.174
Mario-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,0.043
Hao-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Hao/llama/sheet_10_annotations_Hao_llama.csv,0.311
Jinane-Axel,Axel/llama/sheet_10_annotations_FELTEN.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.111
Mario-Jinane,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.085
Hao-Jinane,Hao/llama/sheet_10_annotations_Hao_llama.csv,Jinane/llama/sheet_10_annotations_HARCHAL.csv,0.168
Mario-Hao,Mario/llama/sheet_10_annotations_JAKIMOSKI.csv,Hao/llama/sheet_10_annotations_Hao_llama.csv,0.216
Mario-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,0.361
Hao-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Hao/llama/sheet_13_annotations_Hao_llama.csv,0.509
Jinane-Axel,Axel/llama/sheet_13_annotations_FELTEN.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.181
Mario-Jinane,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.133
Hao-Jinane,Hao/llama/sheet_13_annotations_Hao_llama.csv,Jinane/llama/sheet_13_annotations_HARCHAL.csv,0.056
Mario-Hao,Mario/llama/sheet_13_annotations_JAKIMOSKI.csv,Hao/llama/sheet_13_annotations_Hao_llama.csv,0.283
Mario-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,0.308
Hao-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Hao/llama/sheet_19_annotations_Hao_llama.csv,0.343
Jinane-Axel,Axel/llama/sheet_19_annotations_FELTEN.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.316
Mario-Jinane,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.087
Hao-Jinane,Hao/llama/sheet_19_annotations_Hao_llama.csv,Jinane/llama/sheet_19_annotations_HARCHAL.csv,0.322
Mario-Hao,Mario/llama/sheet_19_annotations_JAKIMOSKI.csv,Hao/llama/sheet_19_annotations_Hao_llama.csv,0.347
Mario-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,0.552
Hao-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Hao/llama/sheet_30_annotations_Hao_llama.csv,0.500
Jinane-Axel,Axel/llama/sheet_30_annotations_FELTEN.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.732
Mario-Jinane,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.475
Hao-Jinane,Hao/llama/sheet_30_annotations_Hao_llama.csv,Jinane/llama/sheet_30_annotations_HARCHAL.csv,0.338
Mario-Hao,Mario/llama/sheet_30_annotations_JAKIMOSKI.csv,Hao/llama/sheet_30_annotations_Hao_llama.csv,0.422
Mario-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,0.260
Hao-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Hao/llama/sheet_38_annotations_Hao_llama.csv,0.211
Jinane-Axel,Axel/llama/sheet_38_annotations_FELTEN.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.202
Mario-Jinane,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.274
Hao-Jinane,Hao/llama/sheet_38_annotations_Hao_llama.csv,Jinane/llama/sheet_38_annotations_HARCHAL.csv,0.133
Mario-Hao,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,Hao/llama/sheet_38_annotations_Hao_llama.csv,0.140
Mario-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,0.052
Hao-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Hao/llama/sheet_39_annotations_Hao_llama.csv,0.193
Jinane-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.287
Mario-Jinane,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.258
Hao-Jinane,Hao/llama/sheet_39_annotations_Hao_llama.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.273
Mario-Hao,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,Hao/llama/sheet_39_annotations_Hao_llama.csv,0.192
Mario-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,0.027
