Couple,File_1,File_2,Kappa
Mario-Hao,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,-0.051
Mario-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,-0.052
Hao-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,0.140
Jinane-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,0.260
Mario-Jinane,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,0.030
Hao-Jinane,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,0.077
Mario-Hao,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,0.000
Mario-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,-0.030
Hao-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,0.008
Jinane-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,0.051
Mario-Jinane,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,-0.082
Hao-Jinane,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,0.062
Mario-Hao,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,0.049
Mario-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,0.065
Hao-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,0.019
Jinane-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.131
Mario-Jinane,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.070
Hao-Jinane,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.130
Mario-Hao,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,0.031
Mario-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,0.077
